Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
367,Orlando Robinson,24,SAC,C,9,0,57,4.4,10.7,0.412,0.6,3.2,0.2,3.8,7.6,0.5,0.441,2.5,4.4,0.571,1.9,6.9,8.8,5.7,1.9,0.6,2.5,3.8,12,NA
367,Orlando Robinson,24,TOR,C,18,2,291,4.5,10.1,0.439,0.4,1.9,0.2,4.1,8.3,0.493,0.457,2.6,3.1,0.84,4.1,5.6,9.6,3,0.9,0.7,2.5,4.6,11.9,NA
368,Jeff Dowtin,27,PHI,PG,30,0,344,4.7,11.2,0.421,1,3.1,0.333,3.7,8.1,0.455,0.467,1.8,2.6,0.68,0.6,3.2,3.9,5,1,0.5,0.5,1.8,12.2,NA
369,Jordan Walsh,20,BOS,PF,42,1,340,2.5,6.8,0.375,1.4,4.6,0.302,1.2,2.2,0.524,0.477,0.7,1.3,0.583,2,3.7,5.7,1.7,1.1,1,1.2,2.8,7.2,NA
370,Paul Reed,25,DET,C,36,0,337,6.4,11.9,0.541,0.6,2.2,0.286,5.8,9.6,0.6,0.568,2.9,3.6,0.794,3.5,6.4,9.9,3.7,3.6,2,1.9,6,16.3,NA
371,Jock Landale,29,HOU,C,31,1,337,5.2,11.3,0.462,0.6,1.7,0.375,4.6,9.6,0.478,0.491,2.5,3.6,0.676,4.3,6.2,10.5,2.8,0.6,1,1.6,3.3,13.6,NA
372,Landry Shamet,27,NYK,SG,30,0,336,4.6,9.6,0.478,2,5.8,0.352,2.6,3.9,0.667,0.583,0.3,0.7,0.429,0.5,1.9,2.5,1.8,1.3,0.2,1.3,2.5,11.6,NA
373,Jaylen Clark,23,MIN,SG,22,4,334,3.8,8.7,0.432,1.7,4.1,0.421,2,4.6,0.442,0.531,1.5,1.9,0.778,1.8,1.4,3.2,1.4,2.4,0.1,0.4,4.5,10.8,NA
374,Sandro Mamukelashvili,25,SAS,PF,39,0,331,7,13.7,0.508,3.2,8.4,0.377,3.8,5.3,0.714,0.623,2.5,3.4,0.742,2.5,7.3,9.8,2.1,1.4,1.1,1.5,3.3,19.6,NA
375,Dwight Powell,33,DAL,C,38,2,328,2.5,3.5,0.719,0.1,0.1,1,2.4,3.4,0.71,0.734,2.2,3.4,0.645,3.5,5,8.6,3.6,1.3,2,1.1,5.3,7.4,NA
376,Dillon Jones,23,OKC,SF,37,0,326,3.2,9.6,0.333,1.1,5.3,0.208,2.1,4.3,0.487,0.391,1.2,2.2,0.55,2.5,5.5,8.1,4.1,0.8,0.3,1.5,4,8.7,NA
377,Jalen Pickett,25,DEN,SG,30,0,324,4.3,9.7,0.448,2,5.1,0.391,2.3,4.6,0.512,0.552,0.2,0.2,1,0.6,3.2,3.8,5.9,0.8,0.3,1.3,1.9,10.9,NA
378,Tre Mann,23,CHO,PG,13,0,319,7.9,18.2,0.435,2.7,6.8,0.4,5.2,11.4,0.455,0.509,2.1,2.4,0.905,1.4,2.9,4.3,4.4,0.8,0.5,2.8,2.7,20.7,NA
379,GG Jackson II,20,MEM,PF,19,0,317,6.2,15.6,0.401,2.7,7.7,0.353,3.5,7.8,0.449,0.489,3,4.1,0.722,2.3,4.8,7,2.5,0.7,0.5,2.7,2.6,18.2,NA
380,Trey Jemison,25,2TM,C,29,0,314,4,7.2,0.556,0,0,NA,4,7.2,0.556,0.556,1.4,3.6,0.387,4,5.6,9.6,1.6,0.9,1.4,1.8,6.6,9.4,NA
380,Trey Jemison,25,NOP,C,16,0,166,3.3,6.9,0.469,0,0,NA,3.3,6.9,0.469,0.469,1.7,4.6,0.381,4.8,4.8,9.5,2.2,1.5,1.3,2.2,5.9,8.2,NA
380,Trey Jemison,25,LAL,C,13,0,148,4.9,7.5,0.645,0,0,NA,4.9,7.5,0.645,0.645,1,2.4,0.4,3.2,6.6,9.7,1,0.2,1.5,1.5,7.5,10.7,NA
381,Hunter Tyson,24,DEN,PF,41,0,310,3.1,8.6,0.365,1.7,5.7,0.306,1.4,2.9,0.48,0.466,1.9,2.7,0.696,1.6,5.3,7,1.6,0.6,0.6,1.5,4.3,9.9,NA
382,Blake Wesley,21,SAS,SG,37,0,308,4.8,10.4,0.461,0.6,2.8,0.208,4.2,7.6,0.554,0.489,2.1,3.2,0.667,0.7,2.1,2.8,7.7,1.6,0.4,3.3,2.1,12.3,NA
383,Rayan Rupert,20,POR,SG,40,0,306,3.8,9.5,0.395,1.2,4.4,0.27,2.6,5.2,0.5,0.457,1.8,2.4,0.75,2.5,2.9,5.4,2.1,0.9,0.2,2.2,2.8,10.5,NA
384,Malaki Branham,21,SAS,SG,36,0,303,6.1,14.1,0.429,2.6,6.8,0.386,3.4,7.4,0.468,0.521,2,2.4,0.85,0.4,4.2,4.5,3.1,0.8,0.2,3.3,1.9,16.8,NA
385,Alex Len,31,2TM,C,40,3,298,2.9,5.6,0.522,0.1,0.7,0.167,2.8,4.8,0.575,0.533,0.8,1.6,0.538,3.3,5.6,8.8,3.9,1,2.3,1.3,4.7,6.8,NA
